designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,x,y,z
Gaia DR3 2161275788716592256,2161275788716592256,273.47793312479706,64.3974430759749,43.18372559003232,352.9180535417044,35.57224637159496,1.0073376,4.861512,0.61844873,-36.069424,NOT_AVAILABLE,0,False,False,False,False,False,True,True,6340.9185,4.0375,-0.9318,23.0831,0.0,0.0,0.0,0.003704021410047988,-0.060945413199827374,0.12742300646804178
Gaia DR3 6683916311780897664,6683916311780897664,298.36550196668907,-46.19176861438604,43.18278080755956,2.839668260297209,112.77201502431424,1.4166642,13.358995,2.9941874,13.800283,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3116.245,5.0018,-0.0427,23.0854,0.0,0.0,0.0,0.04646532173896845,-0.0860596250969191,-0.10195794514434783
Gaia DR3 3959759155975996672,3959759155975996672,189.9304984081636,25.512028329473203,43.32070949046065,-179.93147216981538,-159.1163165459646,1.1378436,13.258055,2.98139,-1.822246,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3110.627,4.8614,-0.2851,23.0887,0.0002,0.0001,0.0001,-0.12557831798811198,-0.02198581255676748,0.06084169975357204
Gaia DR3 5927236979422123264,5927236979422123264,249.7653421409877,-58.25946925340376,43.2721142967486,-226.72125791136875,-285.0244115155223,0.8938476,6.8666987,0.7993822,-9.122178,NOT_AVAILABLE,0,True,True,True,False,False,True,True,5655.9683,4.4589,-0.7078,23.1027,0.0,0.0,0.0,-0.025687190707841347,-0.06968563499330122,-0.12006208857789627
Gaia DR3 4959814287663518080,4959814287663518080,24.348952435414184,-41.81504308699756,43.08837887125464,182.9567274200569,132.11709342977394,1.3835398,13.755741,3.0671892,50.84499,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3085.9893,5.0475,-0.17,23.109,0.0001,0.0001,0.0,0.0958338127466096,0.04336923472202315,-0.09410073737763244
Gaia DR3 6378475623716304000,6378475623716304000,347.9029718791751,-75.11246374716382,43.106411847380976,517.4444352502815,-354.47530102239034,1.1755425,13.569114,2.9348116,2.44863,NOT_AVAILABLE,0,True,True,True,False,False,False,True,3131.0903,5.0454,-0.2145,23.1109,0.0,0.0,0.0,0.035453423960022816,-0.007598632091700555,-0.13638914650572082
Gaia DR3 3660416565557981440,3660416565557981440,209.66072958511387,-0.3382677364236712,43.078977616338605,-248.85328831390012,-317.5484997168415,1.2396514,12.968065,2.6761045,-37.697952,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3177.5952,4.5511,-1.0283,23.1155,0.0,0.0,0.0,-0.1226082638918148,-0.06982318657207127,-0.000833023977684857
Gaia DR3 5279003887597588096,5279003887597588096,100.92555975684728,-69.48211717521437,43.53284149231175,-156.74898023416176,-95.87078675786287,2.5511146,12.655987,2.8614407,15.193368,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3004.7607,4.2602,-0.7404,23.12,0.0018,0.0011,0.0008,-0.009371543831089109,0.0485490888580878,-0.13212179467880295
Gaia DR3 765531741023636992,765531741023636992,168.8613193698617,41.08681708586082,43.23006475960784,88.16032335574472,-230.7703196837642,1.2430466,11.753524,2.6144428,-7.250736,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3170.3674,4.0631,-1.1109,23.131,0.0005,0.0003,0.0002,-0.10427467208669691,0.020530992944285818,0.09266798876706901
Gaia DR3 4926529081393983104,4926529081393983104,12.258913546331302,-50.1458797354588,43.26826646021407,256.8561198400584,-216.08833137842612,1.1507679,9.99254,1.9485693,23.838984,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3654.4487,4.4944,-0.4841,23.1315,0.0048,0.0033,0.0019,0.08829792260267222,0.019185742913073837,-0.10824328926160506
Gaia DR3 1542896911520969600,1542896911520969600,189.7720835640389,47.03921271467097,43.521621325684166,384.6679528850013,-118.33338956810591,1.5318718,11.208411,2.372919,-10.845598,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3204.925,4.0657,-0.8859,23.1332,0.0002,0.0002,0.0001,-0.09469053496693489,-0.01630838648138432,0.10317966234349389
